City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,Rabak,SD,89.38,scattered clouds,13.1809,32.74,فندق ربك Rabak Hotel
530,Fort Smith,US,78.84,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
550,Port Keats,AU,77.5,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
552,Poum,NC,76.26,clear sky,-20.2333,164.0167,
554,Loma Alta,HN,83.66,overcast clouds,15.3967,-88.5597,Cascada Loma Alta
559,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
562,Dwarka,IN,82.62,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
569,Kimbe,PG,79.3,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
570,Tuy Hoa,VN,75.78,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
572,Touros,BR,80.37,few clouds,-5.1989,-35.4608,INN NEW HORIZON
573,Kulhudhuffushi,MV,85.35,overcast clouds,6.6221,73.07,Haajy Guest House 1
575,Guarapari,BR,77.9,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
577,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
580,Sao Jose Da Coroa Grande,BR,77.43,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
582,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
586,Fare,PF,81.1,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
589,Barmer,IN,82.2,clear sky,25.75,71.3833,Jain Dharamshala
591,Auki,SB,81.9,overcast clouds,-8.7676,160.7034,Auki Motel
594,Zaraza,VE,89.71,overcast clouds,9.3503,-65.3245,Hotel Zaraza
595,Hobyo,SO,84.45,broken clouds,5.3505,48.5268,Iftin hotel hobyo
600,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
604,Sur,OM,88.32,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
611,Ler,SS,81.25,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
614,Warri,NG,77.74,overcast clouds,5.5167,5.75,BON Hotel Delta
615,Lahaina,US,80.6,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
616,Kihei,US,80.62,scattered clouds,20.785,-156.4656,Maui Sunset
619,Omboue,GA,78.8,overcast clouds,-1.5746,9.2618,Hotel Olako
622,Nova Olimpia,BR,82.31,broken clouds,-14.7972,-57.2881,Motel glamour
624,Sinnamary,GF,78.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
625,Santo Domingo,DO,78.48,broken clouds,18.5001,-69.9886,Cabañas City Heart
627,Espanola,US,78.28,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
630,Stephenville,US,84.87,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
636,Puerto Armuelles,PA,75.18,overcast clouds,8.2833,-82.8667,Big Daddy's Beach Club & Hotel
638,Monte Alegre,BR,77.49,broken clouds,-2.0078,-54.0692,Hotel Shekinah
640,Piacabucu,BR,76.15,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
644,Turbat,PK,89.85,scattered clouds,26.0023,63.044,Mubashar Quarters
645,Ahome,MX,85.95,broken clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
646,Bentiu,SS,85.53,scattered clouds,9.2333,29.8333,Mandela hôtel
649,Barahona,DO,82.22,broken clouds,18.2085,-71.1008,Hotel Caribe
651,Malamig,PH,76.64,overcast clouds,12.95,121.3667,Anela's place
654,Lagunas,PE,77.88,broken clouds,-5.2269,-75.6753,Hospedaje Eco
655,Hun,LY,80.13,broken clouds,29.1268,15.9477,Alrwasi Hotel
658,Coahuayana,MX,86.49,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
660,Tha Bo,TH,78.67,overcast clouds,17.85,102.5814,บ้านพักริมโขง รีสอร์ท
661,Tevaitoa,PF,81.21,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
664,Tecoanapa,MX,86.34,scattered clouds,16.5167,-98.75,Hotel Manglares
670,Cabanas,CU,80.96,clear sky,22.9758,-82.9219,Villa Luis Montesino y Anabel
671,Bairiki,KI,78.8,light intensity drizzle,1.3292,172.9752,Tarawa Boutique Hotel
673,Jacareacanga,BR,76.17,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
676,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
680,Labuan,MY,75.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
681,Copala,MX,86.54,scattered clouds,16.65,-98.9833,Kaak Naab Playa Ventura
682,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
683,Tulagi,SB,82.13,overcast clouds,-9.0996,160.1476,Raiders Hotel & Dive
688,Negombo,LK,82.26,overcast clouds,7.2083,79.8358,Hotel Sunset Beach
689,Abu Kamal,SY,78.64,scattered clouds,34.4506,40.9171,البوكمال
691,Sapa,PH,81.36,overcast clouds,5.1544,120.3241,
692,Meadow Lake,US,78.67,clear sky,34.8014,-106.5436,TumbleWeed RV Park
694,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
695,Phan Thiet,VN,78.31,moderate rain,10.9333,108.1,Hotel Saigon-PT
