City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
222,Ancud,-41.8697,-73.8203,50.32,overcast clouds,87,100,6.26,CL
223,Ocean City,39.2776,-74.5746,68.29,clear sky,57,1,1.99,US
224,Saint-Philippe,-21.3585,55.7679,76.59,clear sky,78,10,9.73,RE
225,Fort Nelson,58.8053,-122.7002,41.79,overcast clouds,83,87,7.61,CA
226,Maneadero,31.7167,-116.5667,69.1,few clouds,71,20,3.0,MX
227,Sabzevar,36.2126,57.6819,66.0,light rain,65,100,3.83,IR
228,Gidole,5.65,37.3667,56.46,light rain,86,55,2.28,ET
229,Aldan,58.6031,125.3894,28.29,clear sky,62,8,6.98,RU
230,Srednekolymsk,67.45,153.6833,23.22,broken clouds,80,65,4.12,RU
231,Aksarka,66.5606,67.7975,11.77,scattered clouds,93,29,6.89,RU
232,Kodiak,57.79,-152.4072,40.51,moderate rain,87,100,26.46,US
233,Witu,-2.3889,40.4382,82.56,light rain,81,60,12.64,KE
234,Coffs Harbour,-30.3,153.1333,66.16,broken clouds,77,75,10.36,AU
235,Miri,4.4148,114.0089,76.26,overcast clouds,87,98,2.59,MY
236,Tabas,33.5959,56.9244,72.36,broken clouds,51,82,10.51,IR
237,Abu Dhabi,24.4667,54.3667,80.62,clear sky,71,0,2.3,AE
238,Karachi,24.9056,67.0822,85.82,scattered clouds,58,46,6.91,PK
239,Akdagmadeni,39.6603,35.8836,49.39,overcast clouds,91,100,6.89,TR
240,Nome,64.5011,-165.4064,50.07,clear sky,38,0,4.61,US
241,Mezen,65.8522,44.24,18.34,broken clouds,96,58,3.8,RU
242,Vilhena,-12.7406,-60.1458,74.08,overcast clouds,65,97,2.04,BR
243,Kenai,60.5544,-151.2583,48.02,few clouds,51,20,17.27,US
244,Bilma,18.6853,12.9164,92.61,broken clouds,8,59,4.25,NE
245,Montgomery,39.1501,-77.1997,69.66,clear sky,28,0,4.61,US
246,Butaritari,3.0707,172.7902,80.89,overcast clouds,82,86,13.22,KI
247,Bodmin,50.4715,-4.7243,48.16,overcast clouds,87,98,2.3,GB
248,Okulovka,58.4008,33.2908,31.53,overcast clouds,66,100,5.35,RU
249,Namatanai,-3.6667,152.4333,81.59,light rain,76,87,2.93,PG
250,Kem,64.9555,34.5793,27.32,overcast clouds,95,96,5.5,RU
251,Metro,-5.1131,105.3067,74.52,overcast clouds,93,99,3.67,ID
252,Prainha,-1.8,-53.48,76.17,broken clouds,92,74,3.09,BR
253,Tan An,10.5333,106.4167,78.82,overcast clouds,90,100,4.38,VN
254,Sibolga,1.7427,98.7792,76.84,overcast clouds,88,96,3.2,ID
255,Dori,14.0354,-0.0345,91.2,broken clouds,23,71,8.63,BF
256,Banjar,-8.19,114.9675,77.92,overcast clouds,88,99,4.83,ID
257,Mahebourg,-20.4081,57.7,77.29,scattered clouds,83,40,6.91,MU
258,Laem Sing,12.4816,102.0738,86.14,light rain,100,64,2.06,TH
259,Porto Walter,-8.2686,-72.7439,77.59,heavy intensity rain,88,84,2.28,BR
260,Shingu,33.7333,135.9833,59.61,light rain,86,100,7.0,JP
261,Eyl,7.9803,49.8164,83.68,scattered clouds,76,49,6.71,SO
262,Flin Flon,54.7682,-101.865,49.84,overcast clouds,57,100,9.22,CA
263,Chachoengsao,13.6167,101.4167,83.68,moderate rain,81,80,0.43,TH
264,Kavieng,-2.5744,150.7967,82.98,overcast clouds,71,99,2.06,PG
265,Necochea,-38.5473,-58.7368,51.26,clear sky,51,6,7.49,AR
266,High Level,58.5169,-117.136,41.29,overcast clouds,69,93,6.4,CA
267,Rio Gallegos,-51.6226,-69.2181,39.25,clear sky,81,0,2.3,AR
268,Atambua,-9.1061,124.8925,72.59,overcast clouds,89,99,4.52,ID
269,Fortuna,40.5982,-124.1573,58.08,overcast clouds,71,100,6.91,US
270,Gat,31.61,34.7642,66.88,few clouds,100,12,10.11,IL
271,Dunedin,-45.8742,170.5036,60.8,overcast clouds,59,86,8.01,NZ
272,Koulamoutou,-1.1303,12.4736,72.61,broken clouds,92,81,1.97,GA
273,Minab,27.1467,57.0801,79.16,clear sky,68,0,10.33,IR
274,Chapais,49.7834,-74.8492,43.56,clear sky,69,7,6.76,CA
275,Patos,-7.0244,-37.28,81.91,overcast clouds,54,100,14.79,BR
276,East London,-33.0153,27.9116,62.24,clear sky,71,1,13.13,ZA
277,Belaya Gora,68.5333,146.4167,20.91,broken clouds,89,76,3.83,RU
278,Kambove,-10.8764,26.5969,60.66,broken clouds,89,58,3.58,CD
279,Albion,42.2431,-84.753,58.86,broken clouds,46,75,12.66,US
280,Bandarbeyla,9.4942,50.8122,83.53,broken clouds,75,75,2.82,SO
281,Tobol,52.6844,62.5794,42.46,moderate rain,82,100,15.17,KZ
282,Broken Hill,-31.95,141.4333,55.72,clear sky,64,0,4.14,AU
283,Mount Pleasant,32.7941,-79.8626,79.0,clear sky,58,0,11.5,US
284,Marsh Harbour,26.5412,-77.0636,71.83,overcast clouds,84,100,23.78,BS
285,Comodoro Rivadavia,-45.8667,-67.5,46.26,clear sky,71,0,4.61,AR
286,Kodinar,20.7903,70.7031,81.3,clear sky,85,0,11.3,IN
287,Salo,45.6086,10.531,60.89,overcast clouds,77,87,10.76,IT
288,Isiro,2.7739,27.616,64.85,overcast clouds,99,99,2.08,CD
289,Ouadda,8.0777,22.4007,70.56,overcast clouds,85,100,3.47,CF
290,San Patricio,28.017,-97.5169,89.19,broken clouds,57,59,16.78,US
291,Oxbow,49.2333,-102.1676,53.64,overcast clouds,52,100,18.79,CA
